team_id,player_p,name_p,player_q,name_q,minutes_together,n_interactions,joi,joi90,p_initiates_frac
379,3934,Karl Toko Ekambi,12640,Martin Hongla,122.80000000000001,9,-0.022504450307095553,-0.016493489638750813,0.5555555555555556
58,1384,Hector Herrera,3414,Alexis Vega,135.81666666666666,6,-0.024908481482572783,-0.016505804393900238,0.5
365,8079,Matheus Nunes,11853,Antonio Silva,64.4,3,-0.01187096196525084,-0.016589853678145583,0.6666666666666666
381,3734,Félix Torres,5195,Piero Hincapie,288.43333333333334,78,-0.053196116696040796,-0.01659881140405757,0.47435897435897434
58,3352,Jorge Sánchez,3414,Alexis Vega,136.08333333333331,3,-0.02526063128635324,-0.01670635749495499,0.6666666666666666
50,21,Phil Foden,2005,Kalvin Phillips,36.78333333333333,3,-0.006853831847790426,-0.016769683723637654,0.3333333333333333
50,42,Trent Alexander-Arnold,136,Marcus Rashford,18.183333333333334,3,-0.0034055166404036233,-0.016855902711438647,0.6666666666666666
377,13917,Chang-hoon Kwon,13922,Woo-young Jung,56.2,5,-0.010542625410499329,-0.016883207952756933,0.8
369,8133,Matias Vecino,13927,Guillermo Varela,127.66666666666667,10,-0.023971726517661045,-0.016899128354486898,0.5
378,4105,Wahbi Khazri,14030,Anis Slimane,59.0,2,-0.011101185987497342,-0.01693401252330103,0.5
368,20,Ilkay Gündogan,4868,David Raum,190.06666666666666,24,-0.036036618042262054,-0.017063989602614443,0.5
385,1593,Óscar Duarte,13786,Carlos Martinez,50.71666666666667,4,-0.009634751276833416,-0.0170974882993429,0.5
371,1687,Luka Modric,13860,Marko Livaja,224.0,7,-0.04268057998014269,-0.01714844731345019,0.7142857142857143
377,1830,Kang-in Lee,4915,Hee-chan Hwang,36.0,3,-0.006864181968839563,-0.017160454922098906,0.3333333333333333
372,3978,Pape Gueye,4152,Pape Sarr,45.233333333333334,3,-0.008640240723235161,-0.017191341158979318,0.6666666666666666
383,4020,Kamaldeen Sulemana,5085,Abdul Rahman Baba,59.43333333333334,3,-0.011377674585134216,-0.017229232405980024,0.6666666666666666
366,3861,Xavi Simons,11094,Cody Gakpo,10.9,1,-0.002087421375305357,-0.01723558933738368,0.0
365,17,João Cancelo,127,Diogo Dalot,125.16666666666667,2,-0.02399290346202091,-0.017251887975354582,0.5
50,10,John Stones,16,Kyle Walker,229.96666666666667,76,-0.04412580208354329,-0.017269120977760094,0.5263157894736842
376,1896,Matty Cash,12537,Nicola Zalewski,78.08333333333333,4,-0.01506781903980921,-0.01736739014193591,0.0
360,13946,Pedro Miguel,13953,Karim Boudiaf,195.98333333333332,12,-0.037839923774407896,-0.017376952834577995,0.5833333333333334
364,11,Nicolás Otamendi,13222,Nahuel Molina,579.15,25,-0.11238873793095121,-0.01746522733969716,0.64
381,9837,Jackson Porozo,11960,Enner Valencia,101.86666666666667,3,-0.01977278816291616,-0.017469413625613096,0.6666666666666666
384,308,Harry Wilson,7966,Kieffer Moore,117.94999999999999,5,-0.02297041479209338,-0.017527234686633354,0.6
370,4703,Denis Zakaria,5035,Edimilson Fernandes,72.55,7,-0.01426915663131063,-0.017701228074678936,0.5714285714285714
361,6,Ederson,2071,Alex Telles,54.28333333333333,2,-0.010738089792995342,-0.01780340340257134,0.5
377,83,Heung-min Son,13920,Jun-ho Son,83.51666666666667,6,-0.016541470613054176,-0.017825572003690393,0.5
52,1519,Sergio Busquets,1696,Marco Asensio,232.46666666666667,21,-0.046057532006019815,-0.017831278522548535,0.5714285714285714
364,453,Alexis Mac Allister,3856,Leandro Paredes,110.26666666666667,21,-0.021895737736031567,-0.01787136997801851,0.5714285714285714
52,1341,Unai Simon,1394,Alvaro Morata,167.68333333333334,1,-0.03337296203145118,-0.0179121354706129,1.0
380,926,Alistair Johnston,4611,Alphonso Davies,284.9666666666667,12,-0.057039554182613306,-0.018014597765008293,0.3333333333333333
368,90,Antonio Rüdiger,4713,Jonas Hofmann,43.083333333333336,4,-0.008636865672835503,-0.01804219521598132,0.5
382,13992,Ali Al-Bulayhi,14005,Sami Al-Najei,55.733333333333334,4,-0.011197551197262005,-0.018082169995578597,0.5
363,1895,William Saliba,4194,Randal Kolo Muani,40.13333333333333,1,-0.008086970874483537,-0.018135233688625872,0.0
372,214,Nampalys Mendy,428,Ismaïla Sarr,291.3666666666667,12,-0.059211445376958854,-0.01828977262530476,0.4166666666666667
377,13910,Kyung-won Kwon,13920,Jun-ho Son,16.5,1,-0.0033603257900857875,-0.018329049764104294,0.0
375,1957,Marko Grujic,12576,Nikola Milenkovic,18.05,3,-0.0036853990763816933,-0.018375951073371324,0.6666666666666666
379,8741,Gael Ondoua,13874,Samuel Oum Gouet,44.266666666666666,2,-0.009047826941903484,-0.018395431282484494,0.5
366,3315,Vincent Janssen,8045,Matthijs De Ligt,61.35,2,-0.012579474302786794,-0.018453996532205565,0.5
382,13987,Mohammed Al-Owais,14003,Mohamed Kanno,298.5,2,-0.06127642650697231,-0.018475304474464015,0.5
372,3858,Idrissa Gueye,3978,Pape Gueye,123.91666666666667,4,-0.02547736137163522,-0.018504068783702782,0.5
373,12235,Ali Karimi,13984,Karim Ansarifard,41.53333333333333,1,-0.008556308599149045,-0.018540957638605478,0.0
366,8026,Daley Blind,8342,Memphis Depay,296.1,46,-0.061241939633936884,-0.018614571317306042,0.4782608695652174
378,4142,Dylan Bronn,14019,Yassine Meriah,170.53333333333333,62,-0.03541298695134741,-0.018689418445785384,0.5
52,1530,Pedri,1841,Pau Torres,97.0,45,-0.020174921294229858,-0.018718999138976157,0.3111111111111111
371,4883,Andrej Kramaric,13856,Josip Sutalo,60.8,2,-0.01264593928569702,-0.018719318021590985,0.5
383,444,Tariq Lamptey,1363,Inaki Williams,112.66666666666667,4,-0.02343558715806524,-0.018720735303779927,0.5
367,92,Andreas Christensen,8578,Simon Kjaer,64.31666666666666,26,-0.01339382681800311,-0.01874233345872423,0.5769230769230769
371,1687,Luka Modric,13859,Mislav Orsic,131.7,4,-0.02743745175325252,-0.018749967029557533,0.5
383,1910,Mohammed Salisu,4408,Salis Abdul Samed,264.55,35,-0.05548212113295363,-0.018875036484467308,0.34285714285714286
